Constituency Name,Party,Member Name,Twitter Screen Name
Windsor,Conservative,Adam Afriyie,@AdamAfriyie
West Bromwich West,Labour,Adrian Bailey,@Adrian_Bailey
Torbay,Liberal Democrats,Adrian Sanders,@adriansandersmp
Rutland and Melton,Conservative,Alan Duncan,@AlanDuncan4MP
Elmet and Rothwell,Conservative,Alec Shelbrooke,@AlecShelbrooke
Stockton North,Labour,Alex Cunningham,@ACunninghamMP
Wirral South,Labour,Alison McGovern,@Alison_McGovern
"Plymouth, Devonport",Labour,Alison Seabeck,@alisonseabeck
Orkney and Shetland,Liberal Democrats,Alistair Carmichael,@acarmichaelmp
Vale of Glamorgan,Conservative,Alun Cairns,@AlunCairns
Hastings and Rye,Conservative,Amber Rudd,@Amber_Rudd_2010
Glasgow Central,Labour,Anas Sarwar,@AnasSarwar
South Northamptonshire,Conservative,Andrea Leadsom,@andrealeadsom
St Ives,Liberal Democrats,Andrew George,@AndrewGeorgeLD
Burton,Conservative,Andrew Griffiths,@agriffithsmp
Denton and Reddish,Labour,Andrew Gwynne,@GwynneMP
Romford,Conservative,Andrew Rosindell,@AndrewRosindell
South West Bedfordshire,Conservative,Andrew Selous,@selousa
Hammersmith,Labour,Andrew Slaughter,@HammersmithAndy
Pendle,Conservative,Andrew Stephenson,@Andrew4Pendle
Leigh,Labour,Andy Burnham,@andyburnhammp
Wallasey,Labour,Angela Eagle,@angelaeagle
Penistone and Stocksbridge,Labour,Angela Smith,@angelasmithmp
Moray,SNP,Angus Robertson,@MorayMP
Aberdeen South,Labour,Anne Begg,@annebegg
Newton Abbot,Conservative,Anne-Marie Morris,@AMMorrisUK
Mid Dorset and North Poole,Liberal Democrats,Annette Brooke,@Annette4MDNP
Great Grimsby,Labour,Austin Mitchell,@AVMitchell2010
Brent North,Labour,Barry Gardiner,@barry_gardiner
Exeter,Labour,Ben Bradshaw,@BenPBradshaw
Sefton Central,Labour,Bill Esterson,@billesterson
Coventry North East,Labour,Bob Ainsworth,@BobAinsworthMP
Great Yarmouth,Conservative,Brandon Lewis,@BrandonLewis
Houghton and Sunderland South,Labour,Bridget Phillipson,@bphillipsonMP
Braintree,Conservative,Brooks Newmark,@TweetBrooks
Don Valley,Labour,Caroline Flint,@CarolineFlintMP
"Brighton, Pavilion",Green Party,Caroline Lucas,@CarolineLucas
Newcastle upon Tyne North,Labour,Catherine McKinnell,@CatMcKinnellMP
"Ross, Skye and Lochaber",Liberal Democrats,Charles Kennedy,@charles_kennedy
Dover,Conservative,Charlie Elphicke,@CharlieElphicke
Newcastle upon Tyne Central,Labour,Chinyelu Onwurah,@ChiOnwurah
Rhondda,Labour,Chris Bryant,@ChrisBryantMP
Daventry,Conservative,Chris Heaton-Harris,@chhcalling
Derby North,Labour,Chris Williamson,@ChriswMP
Eastleigh,Liberal Democrats,Christopher Huhne,@ChrisHuhne
Tamworth,Conservative,Christopher Pincher,@ChrisPincher
Streatham,Labour,Chuka Umunna,@ChukaUmunna
Devizes,Conservative,Claire Perry,@claire4devizes
Newry and Armagh,Sinn Fein,Conor Murphy,@conormurphymp
Reigate,Conservative,Crispin Blunt,@crispinbluntmp
Folkestone and Hythe,Conservative,Damian Collins,@DamianCollins
East Hampshire,Conservative,Damian Hinds,@damian57
North Warwickshire,Conservative,Dan Byles,@danielbyles
"Inverness, Nairn, Badenoch and Strathspey",Liberal Democrats,Danny Alexander,@dannyalexander
"Enfield, Southgate",Conservative,David Burrowes,@davidburrowesmp
Inverclyde,Labour,David Cairns,@davidcairns4mp
Bexleyheath and Crayford,Conservative,David Evennett,@DavidEvennett
Delyn,Labour,David Hanson,@DavidHansonMP
Clwyd West,Conservative,David Jones,@davidjonesmp
Tottenham,Labour,David Lammy,@DavidLammy
South Shields,Labour,David Miliband,@DMiliband
