Alistair Carmichael,acarmichaelmp,Liberal Democrats,Orkney and Shetland,91786287,,,2006,,
Alex Cunningham,acunninghammp,Labour,Stockton North,143739561,,,,,
Adam Afriyie,adamafriyie,Conservative,Windsor,22031058,,,1929,,
Adam Price,adampricemp,PC,,19188399,,,1485,,
Adrian Bailey,adrian_bailey,Labour,West Bromwich West,108905591,,,,,
Adrian Sanders,adriansandersmp,Liberal Democrats,Torbay,132170123,,,,,
Andrew Griffiths,agriffithsmp,Conservative,Burton,222477026,,,,,
Alan Duncan,alanduncan4mp,Conservative,Rutland and Melton,114704539,,,,,
Alan Duncan,alanduncanmp,Conservative,,66861157,,,1795,,
Alec Shelbrooke,alecshelbrooke,Conservative,Elmet and Rothwell,130092487,,,,,
Alison McGovern,alison_mcgovern,Labour,Wirral South,21713090,,,,,
Alison Seabeck,alisonseabeck,Labour,"Plymouth, Devonport",20589545,,,1760,,
Alun Cairns,aluncairns,Conservative,Vale of Glamorgan,76650839,,,,,
Anas Sarwar,anassarwar,Labour,Glasgow Central,201226827,,,,,
Andrea Leadsom,andrealeadsom,Conservative,South Northamptonshire,38281180,,,,,
Andrew Stephenson,andrew4pendle,Conservative,Pendle,131517399,,,,,
Andrew George,andrewgeorgeld,Liberal Democrats,St Ives,72883916,,,,,
Andrew Rosindell,andrewrosindell,Conservative,Romford,20132840,,,1786,,
Andy Burnham,andyburnhammp,Labour,Leigh,143779403,,,,,
Andy Reed,andyreedmp,Labour,,130211557,,,1694,,
Andrew Slaughter,andyslaughtermp,Labour,,271094395,,,1559,,
Angela Eagle,angelaeagle,Labour,Wallasey,124270074,,,,,
Angela Smith,angelasmithmp,Labour,Penistone and Stocksbridge,245745762,,,,,
Anne Begg,annebegg,Labour,Aberdeen South,105880024,,,,,
Annette Brooke,annette4mdnp,Liberal Democrats,Mid Dorset and North Poole,108600854,,,,,
Austin Mitchell,avmitchell2010,Labour,Great Grimsby,95194160,,,,,
Ben Bradshaw,benbradshawmp,Labour,,125782111,,,1580,,
Ben Bradshaw,benpbradshaw,Labour,Exeter,24211594,,,,,
Bob Ainsworth,bobainsworthmp,Labour,Coventry North East,147504977,,,,,
Bridget Phillipson,bphillipsonmp,Labour,Houghton and Sunderland South,19295262,,,,,
Brandon Lewis,brandonlewis,Conservative,Great Yarmouth,16884084,,,,,
Brian Iddon,brianiddonmp,Labour,,38736143,,,1432,,
Caroline Flint,carolineflintmp,Labour,Don Valley,227023883,,,,,
Caroline Lucas,carolinelucas,Green Party,"Brighton, Pavilion",80802900,,,,,
Catherine McKinnell,catmckinnellmp,Labour,Newcastle upon Tyne North,77808680,,,,,
Celia Barlow,celiabarlowmp,Labour,,140629531,,,1644,,
Charles Kennedy,charles_kennedy,Liberal Democrats,"Ross, Skye and Lochaber",117783032,,,,,
Charlie Elphicke,charlieelphicke,Conservative,Dover,54515428,,,,,
David Chaytor,chaytord,Labour,,382927437,,,1466,,
Chris Heaton-Harris,chhcalling,Conservative,Daventry,80943076,,,,,
Chinyelu Onwurah,chionwurah,Labour,Newcastle upon Tyne Central,82093305,,,,,
Chris Bryant,chrisbryantmp,Labour,Rhondda,20995648,,,1779,,
Christopher Huhne,chrishuhne,Liberal Democrats,Eastleigh,85809236,,,1565,,
Christopher Pincher,chrispincher,Conservative,Tamworth,166598394,,,,,
Chris Williamson,chriswmp,Labour,Derby North,49682880,,,,,
Chuka Umunna,chukaumunna,Labour,Streatham,33300246,,,,,
Claire Perry,claire4devizes,Conservative,Devizes,95646830,,,,,
Conor Murphy,conormurphymp,Sinn Fein,Newry and Armagh,118711934,,,,,
Crispin Blunt,crispinbluntmp,Conservative,Reigate,76579281,,,1778,,
Douglas Alexander,dalexandermp,Labour,Paisley and Renfrewshire South,115643685,,,,,
Damian Hinds,damian57,Conservative,East Hampshire,14561015,,,,,
Damian Collins,damiancollins,Conservative,Folkestone and Hythe,14758838,,,,,
Dan Byles,danielbyles,Conservative,North Warwickshire,58922682,,,,,
Danny Alexander,dannyalexander,Liberal Democrats,"Inverness, Nairn, Badenoch and Strathspey",22499765,,,1995,,
David Burrowes,davidburrowesmp,Conservative,"Enfield, Southgate",41901500,,,,,
David Cairns,davidcairns4mp,Labour,Inverclyde,79167671,,,,,
David Drew,daviddrewmp,Labour,,130116947,,,1850,,
David Evennett,davidevennett,Conservative,Bexleyheath and Crayford,17298241,,,1408,,
David Hanson,davidhansonmp,Labour,Delyn,130154450,,,,,
David Jones,davidjonesmp,Conservative,Clwyd West,16970757,,,1506,,
David Kidney,davidkidney,Labour,,20368987,,,1833,,
David Lammy,davidlammy,Labour,Tottenham,18020612,,,,,
David Mundell,davidmundelldct,Conservative,"Dumfriesshire, Clydesdale and Tweeddale",19589280,,,,,
David Wright,davidwrightmp,Labour,Telford,24157360,,,1871,,
Debbie Abrahams,debbie_abrahams,Labour,Oldham East and Saddleworth,225857392,,,,,
Denis MacShane,denismacshane,Labour,Rotherham,79737242,,,1790,,
Shahid Malik,dewsburymp,Labour,,22315826,,,1542,,
Diana Johnson,dianajohnsonmp,Labour,Kingston upon Hull North,68659708,,,1647,,
David Miliband,dmiliband,Labour,South Shields,75896448,,,1826,,
Don Foster,donfostermp,Liberal Democrats,Bath,85302744,,,,,
Douglas Carswell,douglascarswell,Conservative,Harwich and North Essex,25097735,,,1621,,
Duncan Hames,duncanhames,Liberal Democrats,Chippenham,6058852,,,,,
Edward Miliband,ed_miliband,Labour,Doncaster North,61781260,,,,,
Edward Balls,edballsmp,Labour,Normanton,16708655,,,1740,,
Edward Davey,eddaveykands,Liberal Democrats,Kingston and Surbiton,82406734,,,,,
Edward Miliband,edmilibandmp,Labour,,,,,1545,,
Grahame Morris,edpic,Labour,Easington,235189381,,,,,
Edward Vaizey,edvaizey,Conservative,Wantage,18096679,,,1905,,
Elliot Morley,elliotmorley,Labour,,23213075,,,1805,,
Emily Thornberry,emilythornberry,Labour,Islington South and Finsbury,164226176,,,,,
